Date,Exp,Site,Type,Block,Trt,Sample_no.,Nitrite,Nitrate,mean_N,sd_N,se_N,pH,KH
11/7/21,Site Sampling,Beach Dune,Control,na,Beach Dune Control,1,0,0,3,4.472136,2,na,na
11/7/21,Site Sampling,Beach Dune,Control,na,Beach Dune Control,2,0,0,3,4.472136,2,na,na
11/7/21,Site Sampling,Beach Dune,Control,na,Beach Dune Control,3,0,0,3,4.472136,2,na,na
11/7/21,Site Sampling,Beach Dune,Control,na,Beach Dune Control,4,0,5,3,4.472136,2,na,na
11/7/21,Site Sampling,Beach Dune,Control,na,Beach Dune Control,5,0,10,3,4.472136,2,na,na
11/7/21,Site Sampling,Beach Dune,Sargassum,na,Beach Dune Sargasso,6,0,70,44,29.874738,13.360389,na,na
11/7/21,Site Sampling,Beach Dune,Sargassum,na,Beach Dune Sargasso,7,0,25,44,29.874738,13.360389,na,na
11/7/21,Site Sampling,Beach Dune,Sargassum,na,Beach Dune Sargasso,8,0,10,44,29.874738,13.360389,na,na
11/7/21,Site Sampling,Beach Dune,Sargassum,na,Beach Dune Sargasso,9,0,80,44,29.874738,13.360389,na,na
11/7/21,Site Sampling,Beach Dune,Sargassum,na,Beach Dune Sargasso,10,0,35,44,29.874738,13.360389,na,na
11/8/22,Site Sampling,Jungle ,Control,na,Jungle Control,1,0,35,23.16667,10.251016,5.918427,na,na
11/8/22,Site Sampling,Jungle ,Control,na,Jungle Control,2,0,17.5,23.16667,10.251016,5.918427,na,na
11/8/22,Site Sampling,Jungle ,Control,na,Jungle Control,3,0,17,23.16667,10.251016,5.918427,na,na
11/8/22,Site Sampling,Jungle ,Sargassum,na,Jungle Sargasso,1,1,90,80,26.457513,15.275252,na,na
11/8/22,Site Sampling,Jungle ,Sargassum,na,Jungle Sargasso,2,0,50,80,26.457513,15.275252,na,na
11/8/22,Site Sampling,Jungle ,Sargassum,na,Jungle Sargasso,3,1,100,80,26.457513,15.275252,na,na
7/31/22,Sargasso Manipulation,Dune,Control,4,Sediment,na,0,0,na,na,na,8,240
7/31/22,Sargasso Manipulation,Dune,Sargassum,3,Algae,na,0,0,na,na,na,8.4,40
7/31/22,Sargasso Manipulation,Dune,Sargassum,3,Sediment,na,0,0,na,na,na,8,40
7/31/22,Sargasso Manipulation,Dune,Control,3,Sediment,na,0,0,na,na,na,8.4,360
